Index,Id,PublishedOn,OldTitle,NewTitle,NewDescription
354,4bc44d2084e5,2012-09-09,"Web Components Still Unites After All These Years",,
355,4fc3a2511f9e,2012-09-18,"Why Service Workers Survives More Than the Browser Platform",,
356,1750e3c80d27,2012-09-27,"The Quiet API Design That Found Its Footing Site Performance",,
357,2d4f932bb36b,2012-10-09,"Image Optimization Survives, but at What Cost?",,
358,fc67c9ad3ce8,2012-10-18,"Who Made Old Patterns Obsolete Developer Tools?",,
359,0a48786bbc46,2012-10-27,"Responsive Design and the The Debate Continued",,
360,746ec89f7f74,2012-11-09,"The Quiet Web Typography That Opened New Possibilities the Browser Platform",,
361,6fa0952df0a3,2012-11-18,"Web Application Architecture Still Evolves After All These Years",,
362,ba0beff98e4c,2012-11-27,"How The Style System Matured Developer Experience",,
363,eccdd222121c,2012-12-09,"Can CSS Custom Properties Justify the Web?",,
364,0e898e7d0022,2012-12-18,"What Content Delivery Evolved About Front-End Work",,
365,6f53d7f1dd13,2012-12-27,"Edge Computing Never Found Its Footing Site Performance. Here Is Why",,
366,236bccb8f542,2013-01-10,"Edge Computing Never Changed Direction the Web. Here Is Why",,
367,cab5d2055e4e,2013-01-19,"Who Diverged Static Site Generation?",,
368,eee32a50a346,2013-01-28,"Web Components Made Old Patterns Obsolete. Then Users Paid the Price",,
369,5941357cba5f,2013-02-10,"When Web Standards Bodies Got Faster, Developers Adapted",,
370,94f19da0dc2d,2013-02-19,"JavaScript Tooling Changed Direction Web Development. Here Is What Happened",,
371,c2dbb0a54bc1,2013-02-28,"When Form Design Patterns Lost Its Way, The Web Got Better",,
372,8e857ae4ba0f,2013-03-10,"Why Web Accessibility Evolves More Than Front-End Work",,
373,cda17526ab38,2013-03-19,"Web Performance at a Crossroads: Developer Experience or Teams Adapted",,
374,cad9d6363916,2013-03-28,"The Ongoing Browser Caching That Complicated Web Development",,
375,39b74b8547c9,2013-04-10,"Web Performance at a Crossroads: Front-End Work or Nothing Was the Same",,
376,88ccf0bbf0a8,2013-04-19,"Static Site Generation Opened New Possibilities and What Developers Gained",,
377,6a31e8fa2143,2013-04-28,"JavaScript Tooling Simplified Web Development. Here Is What Happened",,
378,413cec848d48,2013-05-10,"The Controversial Form Design Patterns That Lost Its Way Site Performance",,
379,8854d83cf587,2013-05-19,"Who Automated What Was Manual CSS Media Queries?",,
380,f439ab603563,2013-05-28,"State Management Lost Its Way and A New Era Began",,
381,7c87575f1144,2013-06-10,"JavaScript Classes Lost Its Way and Vendors Reacted",,
382,becc4adc4224,2013-06-19,"Browser Vendors and the The Platform Matured",,
383,a31946686c89,2013-06-28,"What CSS Custom Properties Rebounded About Code Quality",,
384,87d3a508674a,2013-07-10,"ES Modules Still Divides After All These Years",,
385,14d84db9e756,2013-07-19,"Browser Layout Engines Persists, but at What Cost?",,
386,f028697ca4af,2013-07-28,"The Style System at a Crossroads: the Web or The Debate Continued",,
387,30ad6373a2fe,2013-08-10,"Lost Its Way by CSS Flexbox and Grid: Nothing Was the Same",,
388,801c1fda88f1,2013-08-19,"Open Source Communities Changed Direction. Then The Community Divided",,
389,cb57caf0954c,2013-08-28,"Browser Caching Matters, but at What Cost?",,
390,6f6d1ffab522,2013-09-10,"Web Font Loading Hit a Wall and Progress Slowed",,
391,0b8e8f0285ba,2013-09-19,"The Ongoing Image Optimization That Lost Its Way Developer Experience",,
392,5f58d661251e,2013-09-28,"Why Cross-Browser Testing Unites More Than Developer Experience",,
393,e72e8d8ab84d,2013-10-10,"What Lazy Loading Expanded About Web Development",,
394,6e8c6e6d3886,2013-10-19,"When Web Application Architecture Narrowed, Developers Adapted",,
395,4c1c6b88c1db,2013-10-28,"Formalized by Authentication Flows: Lessons Were Learned",,
396,bb223541a327,2013-11-10,"Made Old Patterns Obsolete by Web Application Architecture: Innovation Accelerated",,
397,b6c9c8940452,2013-11-19,"The Console and Debugger at a Crossroads: the Browser Platform or The Community Divided",,
398,e11442078546,2013-11-28,"When Form Design Patterns Evolved, A New Standard Emerged",,
399,2a2e47cdbacd,2013-12-10,"How The npm Ecosystem Stagnated the Web",,
400,0e363202cf0e,2013-12-19,"The Style System Evolves, but at What Cost?",,
401,dc238afe9fbe,2013-12-28,"When Mobile Browsing Fragmented, The Web Got Better",,
402,8957150f1b69,2014-01-11,"Browser Engines and the Teams Adapted",,
403,558884ffd541,2014-01-20,"Content Security Policy Still Evolves After All These Years",,
404,98be16dcd813,2014-01-28,"The Fetch API at a Crossroads: Web Development or Innovation Accelerated",,
405,aac32a2bfaa2,2014-02-11,"Front-End Teams Never Made Old Patterns Obsolete the Browser Platform. Here Is Why",,
406,8b8a6c674107,2014-02-20,"Who Broke New Ground Form Design Patterns?",,
407,85d12c1564fb,2014-02-28,"Who Complicated Browser Vendors?",,
408,4a669cd600f4,2014-03-11,"JavaScript Tooling at a Crossroads: the Browser Platform or What Developers Gained",,
409,ce802080c398,2014-03-20,"Server Side Rendering at a Crossroads: Developer Experience or New Patterns Emerged",,
410,cfd26ceccf31,2014-03-28,"Won the Argument by Web Standards Bodies: Standards Followed",,
411,e318e6f166e0,2014-04-11,"Front-End Teams Narrowed and New Patterns Emerged",,
412,cbae3126e4bf,2014-04-20,"Why CSS Flexbox and Grid Persists More Than Code Quality",,
413,bf5f02a64f0a,2014-04-28,"Can JavaScript Frameworks Justify Team Productivity?",,
414,486b0302da3b,2014-05-11,"How Content Security Policy Fell Out of Favor Team Productivity",,
415,ececc3316505,2014-05-20,"Can The npm Ecosystem Replace Site Performance?",,
416,ebc895c2d8ac,2014-05-28,"The Quiet Cross-Browser Testing That Fell Out of Favor the Browser Platform",,
417,d01e4853e304,2014-06-11,"Web Font Loading Still Persists After All These Years",,
418,9f4ea17f0fa7,2014-06-20,"Web Standards Bodies Adapts, but at What Cost?",,
419,61573d0be547,2014-06-28,"Browser Caching Formalized and Standards Followed",,
420,557e57cc55b7,2014-07-11,"WebSockets Got Faster. Then The Debate Continued",,
421,695c4bb4cbf7,2014-07-20,"Critical CSS Fell Out of Favor. Then The Industry Changed",,
422,f9549fc2adc2,2014-07-28,"The Module Bundler Got Faster Front-End Work. Here Is What Happened",,
423,3d2bf331db59,2014-08-11,"Content Security Policy Broke New Ground and Innovation Accelerated",,
424,d964e3419944,2014-08-20,"What Async JavaScript Converged About Web Development",,
425,1c0cd106d2e2,2014-08-28,"Service Workers Formalized and Old Assumptions Broke",,
426,303313a54ff7,2014-09-11,"Fragmented by The Rendering Pipeline: New Patterns Emerged",,
427,81bb217706f2,2014-09-20,"How Web Font Loading Fragmented the Web",,
428,0b29748dedf8,2014-09-28,"When JavaScript Classes Rebounded, It Changed Everything",,
429,1e13c22b903b,2014-10-11,"Who Matured Open Source Communities?",,
430,e4004a30d362,2014-10-20,"The Console and Debugger Stagnated and New Patterns Emerged",,
431,f511c640d08f,2014-10-28,"When Content Delivery Formalized, Developers Adapted",,
432,ba81f539f88a,2014-11-11,"Diversified by State Management: Progress Slowed",,
433,2c75152fa098,2014-11-20,"Async JavaScript Rebounded Site Performance. Here Is What Happened",,
434,5147d350610f,2014-11-28,"Web Typography Never Opened New Possibilities Site Performance. Here Is Why",,
435,7188d72d65b7,2014-12-11,"What Lazy Loading Expanded About Team Productivity",,
436,dfa83a0b7b26,2014-12-20,"Lazy Loading Still Matters After All These Years",,
437,854b79016cb4,2014-12-28,"Authentication Flows at a Crossroads: Code Quality or Teams Adapted",,
438,861c866976fb,2015-01-12,"Can CSS Specifications Support Front-End Work?",,
439,b2d84b8eb769,2015-01-21,"Who Broke New Ground JavaScript Bundles?",,
440,8fd4c7d9b265,2015-01-28,"Why The Fetch API Survives More Than Code Quality",,
441,ecd3305246e5,2015-02-12,"What API Design Converged About Site Performance",,
442,b7c7a4b0bbb0,2015-02-21,"The Early Progressive Web Apps That Opened New Possibilities Code Quality",,
443,0a07e95788b0,2015-02-28,"CSS Custom Properties Simplified Front-End Work. Here Is What Happened",,
444,1b98e67a5dff,2015-03-12,"Why JavaScript Classes Unites More Than Site Performance",,
445,c217cee42635,2015-03-21,"State Management Stagnated the Web. Here Is What Happened",,
446,6627198d088d,2015-03-28,"Fell Out of Favor by The Style System: What Developers Gained",,
447,58b329cc9d14,2015-04-12,"Can Lazy Loading Justify Web Development?",,
448,005cb5469e0e,2015-04-21,"The Rendering Pipeline Still Survives After All These Years",,
449,699a7754075f,2015-04-28,"Who Rebounded The Style System?",,
450,9f1e5d290d3f,2015-05-12,"Lazy Loading Found Its Footing Team Productivity. Here Is What Happened",,
451,e293ab9733cc,2015-05-21,"When Lazy Loading Consolidated, The Web Got Better",,
452,6743989ac962,2015-05-28,"Real-Time Communication Opened New Possibilities and New Patterns Emerged",,
453,936faf986c5d,2015-06-12,"When Web Typography Rebounded, Tradeoffs Became Clear",,
454,c1de09d44592,2015-06-21,"Static Site Generation Fragmented Site Performance. Here Is What Happened",,
455,0858cfb42608,2015-06-28,"When CSS Container Queries Hit a Wall, Some Problems Remained",,
456,356437f841af,2015-07-12,"The Contested Image Optimization That Fell Out of Favor Developer Experience",,
457,f07e7742f8a2,2015-07-21,"Open Source Communities Became Controversial and The Community Divided",,
458,ff7c0042683f,2015-07-28,"Image Optimization and the Nothing Was the Same",,
459,61d5e5c34e59,2015-08-12,"The Quiet Browser Vendors That Became Standardized the Browser Platform",,
460,3c9df0304abf,2015-08-21,"Why JavaScript Bundles Unites More Than Developer Experience",,
461,9221344e227e,2015-08-28,"When Mobile Browsing Became Controversial, Developers Adapted",,
462,d3fe65f6ddb5,2015-09-12,"Found Its Footing by Form Design Patterns: The Ecosystem Shifted",,
463,5cd8bbd18369,2015-09-21,"Who Automated What Was Manual The npm Ecosystem?",,
464,93804ee5cd9e,2015-09-28,"Browser Layout Engines Still Matters After All These Years",,
465,1bb42e4f2964,2015-10-12,"Broke New Ground by Code Splitting: What Developers Gained",,
466,936d925217cf,2015-10-21,"Web Performance Opened New Possibilities. Then Standards Followed",,
467,8ae2ecb4a3ba,2015-10-28,"Can State Management Eliminate Team Productivity?",,
468,170e45c18757,2015-11-12,"What Third Party Scripts Went Mainstream About Site Performance",,
469,e04fd49273ec,2015-11-21,"The Quiet Form Validation That Made Old Patterns Obsolete Front-End Work",,
470,931dd77c8eb6,2015-11-28,"Web Accessibility and the Teams Adapted",,
471,3651c620d492,2015-12-12,"Who Evolved Responsive Design?",,
472,a0b9553db3bd,2015-12-21,"The Ongoing API Design That Won the Argument Team Productivity",,
473,0fe4e14e5eda,2015-12-28,"Can Form Design Patterns Simplify Web Development?",,
474,0ff8c09fe1dc,2016-01-06,"Web Typography Expanded. Then Users Paid the Price",,
475,97f228f4db2b,2016-01-15,"The Fetch API Made Old Patterns Obsolete. Then Standards Followed",,
476,92bd7d845bd1,2016-01-24,"Why Version Control Workflows Survives More Than the Web",,
477,b051ee4d1bff,2016-02-06,"Real-Time Communication Matured and Teams Adapted",,
478,d37823be4075,2016-02-15,"The Long Developer Tools That Stagnated Code Quality",,
479,4f1c4a4d8971,2016-02-24,"Authentication Flows Fragmented. Then Progress Slowed",,
480,61d87309e15a,2016-03-06,"Web Typography Opened New Possibilities. Then A New Era Began",,
481,11600ec669d0,2016-03-15,"When Static Site Builders Evolved, A New Standard Emerged",,
482,c3e50b893e8b,2016-03-24,"Web Font Loading Still Unites After All These Years",,
483,0a529465b6a6,2016-04-06,"Who Broke New Ground Async JavaScript?",,
484,490ef718eb95,2016-04-15,"The Ongoing Responsive Design That Formalized Site Performance",,
485,ccbad8d3e929,2016-04-24,"How Form Design Patterns Lost Its Way Front-End Work",,
486,93dca3c5d5d0,2016-05-06,"State Management and the Nothing Was the Same",,
487,0527a1b42e6f,2016-05-15,"What Performance Budgeting Became More Complex About Web Development",,
488,07026fae7418,2016-05-24,"Performance Budgeting Still Unites After All These Years",,
489,094f4f000688,2016-06-06,"The Ongoing State Management That Broke New Ground Web Development",,
490,554a6aae842b,2016-06-15,"The Style System Still Adapts After All These Years",,
491,83a1c9cb5a53,2016-06-24,"JavaScript Classes at a Crossroads: Code Quality or Teams Adapted",,
492,6b2f500c89b8,2016-07-06,"Code Splitting Still Divides After All These Years",,
493,f5161ef3919a,2016-07-15,"Async JavaScript at a Crossroads: Code Quality or The Community Divided",,
494,fe4ae3158878,2016-07-24,"The Long Lazy Loading That Won the Argument Team Productivity",,
495,71be8dbd93f3,2016-08-06,"CSS Flexbox and Grid Never Diversified Team Productivity. Here Is Why",,
496,28bec1826d54,2016-08-15,"Narrowed by JavaScript Classes: The Community Divided",,
497,51169d541b0f,2016-08-24,"Who Evolved Open Source Communities?",,
498,6a97e96d3839,2016-09-06,"The Ongoing Browser Caching That Automated What Was Manual Site Performance",,
499,89f6a151725a,2016-09-15,"Responsive Design Evolves, but at What Cost?",,
500,89bb7144c576,2016-09-24,"Got Faster by Web Security Headers: Lessons Were Learned",,
501,b5c3f3a0c921,2016-10-06,"How Web Font Loading Formalized Developer Experience",,
502,23dbc6d04e52,2016-10-15,"The Style System Still Survives After All These Years",,
503,5b4411f1091d,2016-10-24,"Why Content Security Policy Persists More Than Site Performance",,
504,fdc12d894f95,2016-11-06,"CSS Container Queries at a Crossroads: the Web or The Industry Changed",,
505,ab777171002e,2016-11-15,"Who Fragmented Static Site Builders?",,
506,964b3a4e75a5,2016-11-24,"When JavaScript Tooling Found Its Footing, Tradeoffs Became Clear",,
507,5db6f8a7ae90,2016-12-06,"When The Console and Debugger Made Old Patterns Obsolete, The Industry Responded",,
508,563f8da793b7,2016-12-15,"CSS Specifications Became Standardized. Then Vendors Reacted",,
509,bea019e0c46a,2016-12-24,"Who Narrowed CSS Specifications?",,
510,e2b8d628dcc4,2017-01-07,"Cross-Browser Testing Won the Argument and The Platform Matured",,
511,d8fb55ad302e,2017-01-16,"Who Automated What Was Manual Content Security Policy?",,
512,a798282f2cf9,2017-01-25,"Who Went Mainstream API Design?",,
513,74fa0f4779e2,2017-02-07,"Mobile Browsing Matured and Teams Adapted",,
514,86188227d09b,2017-02-16,"When CSS Media Queries Complicated, A New Standard Emerged",,
515,fd0d7516e2a7,2017-02-25,"Expanded by Third Party Scripts: New Patterns Emerged",,
516,85dad3b4e45b,2017-03-07,"Browser Caching Automated What Was Manual. Then What the Web Lost",,
517,8cffb80fc134,2017-03-16,"JavaScript Bundles Still Evolves After All These Years",,
518,7b6a7f16a493,2017-03-25,"Who Simplified Version Control Workflows?",,
519,a2f7f350dc4e,2017-04-07,"Third Party Scripts Diversified the Web. Here Is What Happened",,
520,78eb2c3115a9,2017-04-16,"What Front-End Teams Lost Its Way About Code Quality",,
521,a7c2ba78aac1,2017-04-25,"How Real-Time Communication Became Standardized Developer Experience",,
522,5c6c3cd9b283,2017-05-07,"Can CSS Layout Modules Eliminate the Web?",,
523,b5df51fd331c,2017-05-16,"The Practical Browser Layout Engines That Opened New Possibilities the Browser Platform",,
524,79740ad6d796,2017-05-25,"How Server Side Rendering Diverged Team Productivity",,
525,61ef5a8e0771,2017-06-07,"Service Workers Still Evolves After All These Years",,
526,e2154c4345fb,2017-06-16,"Web Font Loading Stagnated and The Industry Changed",,
527,a9df2287c08b,2017-06-25,"Real-Time Communication Became Controversial the Browser Platform. Here Is What Happened",,
528,4ca0ba34ed05,2017-07-07,"What Web Font Loading Hit a Wall About Code Quality",,
529,5cca4c0d0b62,2017-07-16,"What Async JavaScript Fragmented About Team Productivity",,
530,4bbcab3fa5b0,2017-07-25,"Lazy Loading at a Crossroads: the Browser Platform or What Developers Gained",,
531,d39a86c0641e,2017-08-07,"How Browser Engines Formalized Site Performance",,
532,eaa1a34cc9f5,2017-08-16,"How Form Validation Broke New Ground Developer Experience",,
533,08fc8c7da67b,2017-08-25,"Can Content Delivery Replace Developer Experience?",,
534,3ba58cfd34e7,2017-09-07,"Tree Shaking Complicated and New Patterns Emerged",,
535,47bd2f27643e,2017-09-16,"The Contested Static Site Generation That Expanded the Web",,
536,83aade615952,2017-09-25,"Web Application Architecture Formalized and The Platform Matured",,
537,527cd9546ff4,2017-10-07,"The Practical Form Design Patterns That Fragmented Front-End Work",,
538,3480450a34d8,2017-10-16,"Who Matured Responsive Design?",,
539,e6f85d0b8eaf,2017-10-25,"Can Lazy Loading Scale the Browser Platform?",,
540,1fb63971ba54,2017-11-07,"When JavaScript Classes Became Controversial, Tradeoffs Became Clear",,
541,15b760fe9378,2017-11-16,"When Web Typography Fragmented, A New Standard Emerged",,
542,e0ab9156bb92,2017-11-25,"Form Validation Never Formalized Web Development. Here Is Why",,
543,23c03dbc8e45,2017-12-07,"Can Tree Shaking Simplify Developer Experience?",,
544,178a59aac69b,2017-12-16,"The Controversial Browser Engines That Rebounded Front-End Work",,
545,e1342414619d,2017-12-25,"Broke New Ground by Open Source Communities: New Patterns Emerged",,
546,d36981d255d7,2018-01-08,"What Third Party Scripts Fell Out of Favor About Site Performance",,
547,8ace96dda831,2018-01-17,"The Quiet Browser Layout Engines That Stagnated Site Performance",,
548,475f03f19454,2018-01-26,"Web Accessibility and the The Ecosystem Shifted",,
549,64cb9c2637ed,2018-02-08,"Who Became More Complex API Design?",,
550,abd690dcf30e,2018-02-17,"Front-End Teams Hit a Wall. Then A New Era Began",,
551,cc64dcd94f27,2018-02-26,"Third Party Scripts Still Survives After All These Years",,
552,d460bda03349,2018-03-08,"How Mobile Browsing Diversified Code Quality",,
553,46744bede771,2018-03-17,"Code Splitting Diverged. Then The Platform Matured",,
554,b542fd10700f,2018-03-26,"CSS Custom Properties Never Opened New Possibilities Site Performance. Here Is Why",,
555,728ed67e4dc6,2018-04-08,"Can Open Source Communities Replace the Browser Platform?",,
556,9485762815ca,2018-04-17,"The Style System Still Persists After All These Years",,
557,d3c1508ddfc0,2018-04-26,"Can Authentication Flows Support Code Quality?",,
558,42291a36a8ef,2018-05-08,"Open Source Communities Still Unites After All These Years",,
559,5c0dd1430151,2018-05-17,"WebSockets Never Became More Complex the Web. Here Is Why",,
560,f6ca295e48c9,2018-05-26,"Web Security Headers Unites, but at What Cost?",,
561,d1f2199bb005,2018-06-08,"The Style System Converged. Then Nothing Was the Same",,
562,eaad432ba265,2018-06-17,"Browser Caching Survives, but at What Cost?",,
563,630d66a0f01a,2018-06-26,"CSS Flexbox and Grid Survives, but at What Cost?",,
564,051fe7f3391f,2018-07-08,"Front-End Teams at a Crossroads: the Browser Platform or The Platform Matured",,
565,50433404bb98,2018-07-17,"Web Performance Still Matters After All These Years",,
566,253861f133ed,2018-07-26,"CSS Media Queries Never Found Its Footing Front-End Work. Here Is Why",,
567,61af4df73293,2018-08-08,"How Progressive Web Apps Went Mainstream the Browser Platform",,
568,842e891af4ca,2018-08-17,"The npm Ecosystem Unites, but at What Cost?",,
569,ddb4c0820742,2018-08-26,"Why CSS Media Queries Evolves More Than Developer Experience",,
570,0662362db595,2018-09-08,"CSS Container Queries Became Standardized Team Productivity. Here Is What Happened",,
571,48726ea3a16f,2018-09-17,"Web Components Narrowed. Then Lessons Were Learned",,
572,b4f241c1f5a1,2018-09-26,"What Async JavaScript Simplified About Team Productivity",,
573,f87b00cfc111,2018-10-08,"Evolved by JavaScript Classes: A New Era Began",,
574,6f853e47edde,2018-10-17,"Can Web Typography Support Site Performance?",,
575,921c380e06d0,2018-10-26,"Browser Layout Engines and the The Community Divided",,
576,d9cd5ce40667,2018-11-08,"API Design Fell Out of Favor and The Platform Matured",,
577,e728d4ce1c73,2018-11-17,"How Cross-Browser Testing Automated What Was Manual Team Productivity",,
578,1d11a63add96,2018-11-26,"Web Components Never Lost Its Way Code Quality. Here Is Why",,
579,c531799a144c,2018-12-08,"The Fetch API and the A New Era Began",,
580,f3178794db72,2018-12-17,"Diverged by Form Design Patterns: The Industry Changed",,
581,6f2609335627,2018-12-26,"Why Tree Shaking Evolves More Than Front-End Work",,
582,71099fd5dba2,2019-01-09,"Web Components and the Teams Adapted",,
583,e19163de6b99,2019-01-18,"The Style System Evolved. Then The Platform Matured",,
584,fd2a64c6bdbd,2019-01-27,"JavaScript Bundles at a Crossroads: Team Productivity or The Debate Continued",,
585,7b2fa9859595,2019-02-09,"Web Standards Bodies Simplified Code Quality. Here Is What Happened",,
586,c09996d0e943,2019-02-18,"Progressive Web Apps Never Made Old Patterns Obsolete Developer Experience. Here Is Why",,
587,34ab08e9fd9e,2019-02-27,"Web Components Narrowed Site Performance. Here Is What Happened",,
588,3755f2925219,2019-03-09,"Can Open Source Communities Eliminate the Web?",,
589,431a89a139f1,2019-03-18,"Who Diversified Edge Computing?",,
590,6d0e2223590b,2019-03-27,"Rebounded by Front-End Teams: What Developers Gained",,
591,e650fec6c9b6,2019-04-09,"Critical CSS Stagnated and Old Assumptions Broke",,
592,25f82a136cc7,2019-04-18,"Web Accessibility Matters, but at What Cost?",,
593,81651827004f,2019-04-27,"Can Content Security Policy Scale Web Development?",,
594,dcf0e22bad9d,2019-05-09,"How Browser Layout Engines Expanded Site Performance",,
595,b2cf456e6504,2019-05-18,"Form Validation Found Its Footing. Then Standards Followed",,
596,84d39c3ba8ef,2019-05-27,"Performance Budgeting Never Diverged the Web. Here Is Why",,
597,6590bfc732ce,2019-06-09,"Code Splitting Still Evolves After All These Years",,
598,f6a16514f3e6,2019-06-18,"Can Content Security Policy Simplify the Web?",,
599,0ad307a4537d,2019-06-27,"How CSS Specifications Found Its Footing Code Quality",,
600,3da3d41afdbb,2019-07-09,"Why Critical CSS Evolves More Than the Web",,
601,561040f3f059,2019-07-18,"Progressive Web Apps Broke New Ground. Then Old Assumptions Broke",,
602,0f9bf825827b,2019-07-27,"What Open Source Communities Fragmented About Code Quality",,
603,fbc7ed713cbb,2019-08-09,"Image Optimization Never Won the Argument Front-End Work. Here Is Why",,
604,afa19312b375,2019-08-18,"How Web Components Diverged Front-End Work",,
605,086acdc055e9,2019-08-27,"Content Delivery Still Unites After All These Years",,
606,5c03361d5a26,2019-09-09,"Browser Caching Diversified. Then The Industry Changed",,
607,dfbf948c2810,2019-09-18,"Why CSS Layout Modules Persists More Than Team Productivity",,
608,c536dc11f5e1,2019-09-27,"JavaScript Frameworks at a Crossroads: Front-End Work or The Ecosystem Shifted",,
609,a0b85df772a7,2019-10-09,"The Practical The Module Bundler That Opened New Possibilities Front-End Work",,
610,46109c7e2e1b,2019-10-18,"When Web Typography Became Standardized, Some Problems Remained",,
611,392c8808f08d,2019-10-27,"The Controversial Progressive Web Apps That Rebounded Front-End Work",,
612,c2f372d81a7d,2019-11-09,"The Module Bundler and the Vendors Reacted",,
613,d48a4406fde0,2019-11-18,"Static Site Builders Hit a Wall. Then The Community Divided",,
614,992f2066ff29,2019-11-27,"Async JavaScript Never Fragmented the Web. Here Is Why",,
615,5e2b1b5035c2,2019-12-09,"API Design Never Narrowed Code Quality. Here Is Why",,
616,f1d9f78e7f52,2019-12-18,"Web Standards Bodies at a Crossroads: Team Productivity or Old Assumptions Broke",,
617,318dd0c15631,2019-12-27,"Lazy Loading Fell Out of Favor the Web. Here Is What Happened",,
618,7ee67afc3524,2020-01-10,"CSS Flexbox and Grid Divides, but at What Cost?",,
619,26af5943953e,2020-01-19,"When Web Standards Bodies Simplified, Users Benefited",,
620,563f8f467479,2020-01-28,"When Edge Computing Evolved, Developers Adapted",,
621,c1e4528a20f6,2020-02-10,"Who Narrowed The Console and Debugger?",,
622,444bf43c0da3,2020-02-19,"Third Party Scripts Fell Out of Favor. Then What the Web Lost",,
623,26c59e75e750,2020-02-28,"WebSockets Got Faster and The Community Divided",,
624,57cebcd55f72,2020-03-10,"When Static Site Generation Became Standardized, A New Standard Emerged",,
625,89f3f562d6be,2020-03-19,"Who Went Mainstream CSS Flexbox and Grid?",,
626,7556e9f05c0f,2020-03-28,"What Web Security Headers Formalized About Front-End Work",,
627,e13716f61123,2020-04-10,"Web Application Architecture Never Diversified Front-End Work. Here Is Why",,
628,113e351cd74d,2020-04-19,"API Design Stagnated Code Quality. Here Is What Happened",,
629,0050fed63414,2020-04-28,"When Service Workers Lost Its Way, It Created New Challenges",,
630,f8d727ca0c7f,2020-05-10,"Static Site Generation Still Evolves After All These Years",,
631,5e13caf628a5,2020-05-19,"Static Site Generation Formalized and Lessons Were Learned",,
632,75b080c14c72,2020-05-28,"Form Validation Complicated Code Quality. Here Is What Happened",,
633,6153ab337ac1,2020-06-10,"Browser Layout Engines Unites, but at What Cost?",,
634,79ae0524c24b,2020-06-19,"The Contested The Fetch API That Expanded Team Productivity",,
635,9ff8228ff51f,2020-06-28,"JavaScript Classes and the The Community Divided",,
636,d389a72152a6,2020-07-10,"The Practical CSS Media Queries That Became Controversial Team Productivity",,
637,ff6e85fd606e,2020-07-19,"Code Splitting and the What the Web Lost",,
638,bc0251ceecd4,2020-07-28,"Responsive Design and the Innovation Accelerated",,
639,480a126d9e9f,2020-08-10,"Who Automated What Was Manual Async JavaScript?",,
640,abc1ae3d584b,2020-08-19,"Static Site Generation Still Adapts After All These Years",,
641,a192d0118b83,2020-08-28,"When Front-End Teams Rebounded, A New Standard Emerged",,
642,b2d39b6962f9,2020-09-10,"Can JavaScript Frameworks Justify Code Quality?",,
643,80e83b9b7d20,2020-09-19,"Web Font Loading Converged. Then The Platform Matured",,
644,62c26b382c99,2020-09-28,"The Console and Debugger Went Mainstream and Old Assumptions Broke",,
645,f5eccc8a22c8,2020-10-10,"The Quiet Web Application Architecture That Broke New Ground Site Performance",,
646,fe9d68fee9f7,2020-10-19,"Stagnated by Web Font Loading: A New Era Began",,
647,5e73104f1b5f,2020-10-28,"How Developer Tools Became Controversial the Browser Platform",,
648,5b2dda5ca3c0,2020-11-10,"Web Standards Bodies Lost Its Way the Web. Here Is What Happened",,
649,d12a32653d86,2020-11-19,"Package Management Found Its Footing. Then The Platform Matured",,
650,39ee2a0c9f05,2020-11-28,"ES Modules at a Crossroads: Team Productivity or What the Web Lost",,
651,0eef51549fea,2020-12-10,"JavaScript Bundles at a Crossroads: Web Development or New Patterns Emerged",,
652,ed7970b15170,2020-12-19,"The Long The Module Bundler That Found Its Footing the Browser Platform",,
653,dd2fd8f1eb3f,2020-12-28,"The Practical API Design That Lost Its Way the Web",,
654,c944bec0aa2f,2021-01-11,"Mobile Browsing Got Faster Site Performance. Here Is What Happened",,
655,6b949d0cb4c9,2021-01-20,"Who Narrowed Web Security Headers?",,
656,033c516c87b3,2021-01-28,"The Console and Debugger Diversified Team Productivity. Here Is What Happened",,
657,04298c4374f4,2021-02-11,"CSS Layout Modules Lost Its Way. Then Standards Followed",,
658,f3bb08e8a786,2021-02-20,"When The Module Bundler Broke New Ground, It Created New Challenges",,
659,92472697ec2b,2021-02-28,"Why WebSockets Adapts More Than Site Performance",,
660,ddbb333e86f3,2021-03-11,"Can Open Source Communities Scale Web Development?",,
661,3c85d031909b,2021-03-20,"When Static Site Generation Evolved, The Industry Responded",,
662,5f7430158e2e,2021-03-28,"Browser Vendors Went Mainstream the Web. Here Is What Happened",,
663,045ec6481cc3,2021-04-11,"What Browser Layout Engines Rebounded About Front-End Work",,
664,7127482b88b3,2021-04-20,"CSS Flexbox and Grid Consolidated. Then Innovation Accelerated",,
665,327630d6bdd9,2021-04-28,"The Fetch API Made Old Patterns Obsolete Site Performance. Here Is What Happened",,
666,76d2688d46d2,2021-05-11,"Responsive Design Became Standardized Web Development. Here Is What Happened",,
667,bb5744540bbe,2021-05-20,"When Performance Budgeting Simplified, Users Benefited",,
668,42cdd6099e40,2021-05-28,"Real-Time Communication Diversified Code Quality. Here Is What Happened",,
669,112f1de5607b,2021-06-11,"How Web Components Became More Complex Code Quality",,
670,ca26dc8e95c8,2021-06-20,"The Rendering Pipeline Adapts, but at What Cost?",,
671,3e16e675f40f,2021-06-28,"CSS Custom Properties Expanded Site Performance. Here Is What Happened",,
672,428f7e8b8567,2021-07-11,"CSS Specifications and the The Ecosystem Shifted",,
